"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Dickson","Ward","Ward H Dickson","IQ246783278","1962","56","Male","","WestRock","194","Public Company","Consumer","  14,859.7 ","  15,052.9 ","  44,800 ","www.westrock.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jul-15","1-Jul-15","  3.1 ","  3.1 ","External","NA","NA","Cisco Systems Capital Corp","Technology","Private","Senior Vice President, Finance","Other","26","5","12","None","None","None","12","None","None","7","None","None","5","None","None","None","None","None","None","None","","None","None","None","33","None","None","US","33","None","None","None","None","None","None","None","None","None","Indiana University ","Science","1984","No","NA","NA","No","NA"
"","Hope","Jim","James (Jim) D Hope","IQ272249412","1960","58","Male","American","Performance Food Group","171","Public Company","Consumer","  16,761.8 ","  3,673.5 ","  14,000 ","www.pfgc.com","Executive Vice President/Chief Financial Officer","","Yes","1-Mar-18","1-Jul-14","  0.4 ","  4.1 ","Internal","Executive Vice President- Operations","Non-Finance","SYSCO CORP","Consumer","Public","Executive Vice President - Operations","Non-Finance","8","None","None","None","None","None","None","None","None","None","None","None","8","None","5","None","None","None","None","None","","30","None","None","None","None","None","US","11","None","None","None","None","None","None","None","None","None","University of Texas at Austin ","Business Administration","1983","No","NA","NA","No","NA"
"","Young","Charles","Charles Erik Young","IQ261333948","1977","41","Male","","PBF Energy","135","Public Company","Industrial and Natural Resources ","  21,786.6 ","  4,886.0 ","  3,165 ","www.pbfenergy.com","Senior Vice President/Chief Financial Officer","","Yes","1-Apr-14","7-Nov-11","  4.3 ","  6.7 ","Internal","Director Strategic Planning","Other","McNeill Holdings LLC","Healthcare","Public","Principal  ","Non-Finance","16","4","6","None","None","None","None","None","2","None","None","None","4","None","None","None","None","2","6","None","Industrial and Natural Resources, Financial Services ","None","8","None","11","None","None","US","19","None","None","None","None","None","None","None","None","None","Wofford College ","Finance","Unknown","No","NA","NA","No","NA"
"","Townsend","Adam ","Adam Townsend ","","Unknown","Unknown","Male","NA","CBS","197","Public Company","Consumer","  13,692.0 ","  20,436.7 ","  12,700 ","www.cbscorporation.com","Executive Vice President, Finance and Investor Relations ","","Yes ","1-Jan-16","22-Jul-08","  2.6 ","  10.0 ","Internal","Executive Vice President - Investor Relations ","IR ","E*TRADE FINANCIAL CORP","Financial Services","Public ","Managing Director - Corporate Strategy, Investor Relations ","IR","19","2","None","None","None","None","None","15","None","2","None","None","3","None","None","5","None","None","None","None","","None","21","None","None","None","None","US","20","None","None","None","None","None","None","None","None","None","University of California ","Science ","1995","No","NA","NA","No","NA"
"","O'Flynn","Tom","Thomas (Tom) M O'Flynn","IQ215526161","1960","58","Male","American","AES","214","Public Company","Industrial and Natural Resources ","  10,530.0 ","  8,390.4 ","  10,500 ","www.aes.com","Executive Vice President/Chief Financial Officer","","No","4-Sep-12","4-Sep-12","  5.9 ","  5.9 ","External","NA","NA","Transmission Developers Inc","Industrial and Natural Resources ","Private","Chief Operating Officer/Chief Financial Officer  ","CFO/FD","16","14","None","None","None","None","None","None","None","8","None","None","16","None","None","None","None","15","2","None","","None","15","None","17","None","None","US","32","None ","None ","None ","None ","None ","None ","None ","None ","None","Northwestern University ","Economics","1982","Yes","University of Chicago ","1986","No","NA"
"","Dunaway","Bill","William (Bill) J Dunaway","IQ75871743","1971","47","Male","","INTL FCStone","103","Public Company","Financial Services ","  29,381.5 ","  945.4 ","  1,595 ","www.intlfcstone.com","Chief Financial Officer","","No","10-Jan-08","10-Jan-08","  10.5 ","  10.5 ","External","NA","NA","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","10","Unknown","Unknown","Unknown","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","None","None","Unknown","Unknown","None","None","","Unknown","Unknown","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Strah","Steve","Steven (Steve) E Strah","IQ22580272","1963","55","Male","","FirstEnergy","219","Public Company","Industrial and Natural Resources ","  13,627.0 ","  16,501.3 ","  15,617 ","www.firstenergycorp.com","Senior Vice President/Chief Financial Officer","","Yes","5-Mar-18","1-Jan-84","  0.4 ","  34.6 ","Internal","Senior Vice President/Division President ","Non-Finance","NA","NA","NA","NA","NA","Unknown","None","Unknown","Unknown","Unknown","None","Unknown","Unknown","Unknown","None","Unknown","Unknown","Unknown","None","None","None","Unknown","Unknown","Unknown","Unknown","Industrial and Natural Resources","None","None","None","34","None","None","US","34","None ","None ","None ","None ","None ","None ","None ","None ","None","Baldwin Wallace College","Business Administration","Unknown","No","NA","NA","No","NA"
"","Marberger","Dave","David (Dave) S Marberger","IQ382013832","1965","53","Male","","ConAgra Foods","321","Public Company","Consumer","  7,938.3 ","  14,538.4 ","  12,600 ","www.conagrabrands.com","Executive Vice President/Chief Financial Officer","","No","8-Aug-16","8-Aug-16","  2.0 ","  2.0 ","External","NA","NA","PRESTIGE BRANDS HOLDINGS (PBH) INC","Healthcare","Public","Chief Financial Officer / Principal Financial Officer and Principal Accounting Officer","Non-Finance","27","10","2","1","1","None","1","None","None","3","None","None","18","6","None","None","None","None","None","None","","24","None","None","None","6","None","None","30","None","None","None","None","None","None","None","None","None","University of Massachusetts ","Business Administration","1986","Yes","Wharton School, University of Pennsylvania ","2000","No","NA"
"","Hardig","John","John J Hardig","IQ170926276","1964","54","Male","American","XPO Logistics","186","Public Company","Industrial and Natural Resources ","  15,380.8 ","  12,666.1 ","  95,000 ","www.xpo.com","Chief Financial Officer","","Yes","13-Feb-12","13-Feb-12","  6.4 ","  6.4 ","External","NA","NA","Stifel Nicolaus Weisel","Financial Services","Private","Group Managing Director","Other","12","6","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7","None","None","","None","15","None","8","None","None","US","25","None","None","None","None","None","None","None","None","None","United States Naval Academy  ","Science","1987","Yes","Stephen M Ross School of Business, University of Michigan ","1995","No","NA"
"","Bramlage","Steve","Stephen (Steve) P Bramlage Jr","IQ290512100","1970","48","Male","","Aramark","200","Public Company","Consumer","#NA","#NA","  215,000 ","www.aramark.com","Executive Vice President/Chief Financial Officer","","No","6-Apr-15","6-Apr-15","  3.3 ","  3.3 ","External","NA","NA","OWENS-ILLINOIS INC","Industrial and Natural Resources ","Public","Senior Vice President/Chief Financial Officer","CFO/FD","13","5","5","None","None","None","None","None","None","2","6","None","3","3","None","None","None","None","None","None","","2","None","3","17","None","None","US","21","None","None","None","None","None","None","None","None","None","University of Dayton ","Business Administration","1994","Yes"," Kellogg School of Management, Northwestern University ","NA","No","NA"
"","Connor","Frank","Frank Thomas Connor","IQ61673501","1959","59","Male","","Textron","208","Public Company","Industrial and Natural Resources ","  14,198.0 ","  16,934.7 ","  37,000 ","www.textron.com","Executive Vice President/Chief Financial Officer","","Yes","1-Aug-09","1-Aug-09","  9.0 ","  9.0 ","External","NA","NA","Goldman Sachs & Co","Financial Services","Private","Head of Investment Banking","Other","24","9","None","None","None","None","None","None","None","None","None","None","13","None","None","None","None","23","None","None","","None","22","None","8","None","None","US","30","None","None","None","None","None","None","None","None","None","University of Notre Dame","Business Administration","1982","Yes","University of Chicago","1986","No","NA"
"","Rankin","Devina","Devina A Rankin","IQ216406232","1975","43","Female","","Waste Management","202","Public Company","Industrial and Natural Resources ","  14,485.0 ","  35,695.0 ","  42,300 ","www.wm.com","Senior Vice President/Chief Financial Officer/Treasurer","","No","27-Feb-17","1-Sep-02","  1.4 ","  15.9 ","Internal","Vice President/Treasurer ","Treasury","Arthur Andersen Inc","Technology","Private ","Senior Auditor  ","Other","20","1","None","4","None","None","None","None","None","None","8","None","9","4","None","None","None","None","None","None","Industrial and Natural Resources & Technology","None","None","None","16","4","None","US","20","None","None","None","None","None","None","None","None","None","Texas A&M University ","Business Administration","1998","No","NA","NA","Masters of Science , 1999","Texas A&M University "
"","Larsen","Michael","Michael M Larsen","IQ246100719","1968","50","Male","","Illinois Tool Works","204","Public Company","Industrial and Natural Resources ","  14,314.0 ","  48,908.1 ","  50,000 ","www.itw.com","Senior Vice President/Chief Financial Officer","","No","16-Sep-13","16-Sep-13","  4.9 ","  4.9 ","External","NA","NA","GARDNER DENVER INC","Industrial and Natural Resources ","Public","President/Chief Executive Officer/Chief Financial Officer  ","CFO/FD","21","9","None","6","None","None","2","None","None","None","None","None","15","None","1","None","None","None","None","None","","None","2","2","24","None","None","US","23","None","None","None","None","None","None","None","None","None","American University of Paris  ","International Economics","1995","Yes","Columbia University  
London Business School  ","2003","No","NA"
"","Asher","Drew","Andrew (Drew) L Asher","IQ271178328","1968","50","Male","","WellCare Health Plans","170","Public Company","Healthcare ","  17,007.2 ","  10,420.8 ","  8,900 ","www.wellcare.com","Executive Vice President/Chief Financial Officer","","No","29-Aug-14","29-Aug-14","  3.9 ","  3.9 ","External","NA","NA","AETNA INC ","Healthcare ","Public ","Regional Chief Financial Officer ","Divisional CFO","19","4","5","5","None","1","None","None","None","2","None","None","4","5","None","None","None","None","None","None","","None","None","19","None","None","None","US","19","None","None","None","None","None","None","None","None","None","University of Florida ","Accounting","Unknown","No","NA","NA","Master of Arts ","University of Central Florida"
"","Witt","Marshall","Marshall W Witt","IQ234976095","1965","53","Male","American","Synnex","169","Public Company","Technology ","  17,045.7 ","  4,261.1 ","  110,000 ","www.synnex.com","Chief Financial Officer","","No","8-Apr-13","8-Apr-13","  5.3 ","  5.3 ","External","NA","NA","FedEx Freight Corp","Industrial and Natural Resources ","Private","Senior Vice President, Finance","Other","20","5","15","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","4","Unknown","Unknown","Unknown","Unable to Calculate","None","None","Unknown","Unknown","Unknown","Unknown","Industrial and Natural Resources, Technology & Financial Services ","None","Unable to calculate","None","18","Unable to calculate","None","US","20","None","None","None","None","None","None","None","None","None","Pacific Lutheran University  ","Business Administration, Finance, General","1987","Yes","Seattle University","1992","No","NA"
"","McLoughlin","Karen","Karen A McLoughlin","IQ167647643","1964","54","Female","","Cognizant Technology Solutions","195","Public Company","Technology ","  14,810.0 ","  46,163.1 ","  261,400 ","www.cognizant.com","Chief Financial Officer","","Yes","6-Feb-12","1-Oct-03","  6.5 ","  14.8 ","Internal","Senior Vice President - Finance ","Other","SFN Group Inc","Technology","Public","Vice President- Finance","Other","23","5","3","None","None","None","None","None","None","9","None","None","20","6","None","None","None","None","None","None","","None","None","None","None","29","None","US","29","None","None","None","None","None","None","None","None","None","Wellesley College ","Arts","1986","Yes","Columbia University ","1988","No","NA"
